date,headline,content,url,source,country,primary_agenda,primary_category,political_categories,cultural_categories,political_score,cultural_score
2025-07-17,Flygplanskrasch i Kentucky – storbrand,"/ Agnès Ericson , Johan Edgar , Nora Fernstedt Uppdaterad 07.09 | Publicerad 2025-11-04 23.42 UPS flight 2976 hann bara lyfta 54 meter. Sedan kraschade det ner mot ett tak. Enorma bränder rasar nu vid flygplatsen. Minst sju personer har dött och elva är skadade efter flygkraschen i Louisville i Kentucky som skapade enorma bränder vid flygplatsen. Enligt Kentuckys guvernör Andy Beshear väntas siffrorna stiga i takt med att räddningspersonalen kan söka genom olycksplatsen. – Vi har ännu inga uppgifter kring besättningen ombord. Men genom att titta på videon kan jag tänka mig att vi alla är väldigt, väldigt oroliga för dem, säger han på en pressträff. Tre personer fanns ombord planet när kraschen inträffade klockan 17.15 lokal tid. Planet, en McDonnell Douglas MD-11 ägt av UPS, störtade i samband med starten från flygplatsen Muhammad Ali International i staden Louisville. Enligt data från Flightradar24 nådde planet en höjd på 54 meter innan det snabbt dök mot marken, skriver New York Times. Enligt videoklipp på sociala medier verkade eld slå ut från planets vänstra sida redan innan det hann lyfta från startbanan. Bilder från BNO News visar hur planet slog ner genom ett hustak under kraschen. Tv-kanalens WHAS11:s livesändning visar stora rökmoln på himlen. På bilder syns också hur en kraftig brand sprids på marken och i flera byggnader. UPS-planet var på väg från Louisville till Honolulu på Hawaii. Personer som befunnit sig nära flygplatsen i Louisville har rapporterat att man hittat Hawaii-inspirerade klädesplagg vid olycksplatsen som man tror kommer från det kraschade planet, uppger tv-kanalen WAVE. Polisen uppmanar folk som hittar vrakdelar eller andra föremål som tros komma från planet att inte röra det och i stället kontakta myndigheterna. Flygplatsen i Louisville är företagets globala nav där över två miljoner paket hanteras per dag. Tre personer var ombord, uppger UPS i ett uttalande. Det finns ännu inga uppgifter om skadade personer på marken. Den lokala polisen",https://www.aftonbladet.se/nyheter/a/4Bn7RE/flygsplanskrasch-i-kentucky,Aftonbladet,sweden,cultural,arts,foreign_policy,arts,1,1
2025-07-16,Detta kan Sverige lära sig av Mamdani,"För ett år sedan visste ingen vem Zohran Mamdani var – nu vet nästan hela världen. Anna Hellgren ser ljuset återvända med New Yorks nya borgmästare. Ljuduppspelningen är AI-genererad. Felaktigheter kan förekomma. KOMMENTAR. Är det så enkelt? Trots Donald Trumps hot och miljardärernas stigande falsetter sopade Zohran Mamdani banan med motståndarna. En socialist i New York. En muslim som borgmästare. I en samtid präglad av rusande ekonomisk ojämlikhet där de politiska eliterna ideligen pekar ut invandring som roten till allt ont – och muslimer som extra farliga femtekolonnare – är det ingen liten sak. Med Trump som president rusar den utvecklingen så snabbt att USA är på god väg att förvandlas till oligarki, samtidigt som Demokraterna till synes förlamat tittar på. I en intervju i NY Times i veckan undrade Bernie Sanders om partiet ens finns som rörelse längre. Mamdanis löften om en stad där alla har råd att leva, där frihet inte villkoras av storleken på bankkontot, gick hem. Arbetarklassen vill mest av allt inte kasta ut sina grannar ur landet. Den vill ha gratis kollektivtrafik och barnomsorg, en chans att leva värdigt på sina löner. Det vill medelklassen också. Fienden är inte den andre, fienden är de redan snuskigt förmögna som blir ännu rikare medan majoriteten slåss om smulorna. Levnadskostnaderna är extrema i New York – och i jämförelse är Sveriges sociala skyddsnät bombsäkra. Men att hitta likheter är lätt. Det var till exempel länge sen en sjuksköterska eller polis (för att inte tala om en taxichaufför eller den i kassan på Ica) kunde bosätta sig innanför tullarna i Stockholm, eller i en närförort hyfsat nära jobbet, utan ett halvt liv i bostadskö. Sverige har 700 miljardärer. 700 000 personer lever i fattigdom. Pengar, och fördelningen av dem, är den springande punkten också här. Eller som PM Nilsson, mannen som arbetat hårdare än de flesta för att få till ett äktenskap mellan kapitalet och sverigedemokratins nationalistiska högerradikalism, yrvaket konstat",https://www.expressen.se/kultur/anna-hellgren/detta-kan-sverige-lara-sig-av-mamdani/,Expressen,sweden,political,economy,"parties,economy,immigration","religion,arts",4,3
2025-07-15,SVT-profilen Micke Leijnegard döms för sexuellt ofredande,"Programledaren Micke Leijnegard döms till böter för sexuellt ofredande för att ha pussat en kvinna på munnen två gånger, framgår av domen från Stockholms tingsrätt. Han ska också betala 10 000 i skadestånd till målsäganden. Enligt åtalet hade han handlat ”på ett sätt som kunde förväntas kränka målsägandens sexuella integritet”. Handlingarna skedde i samband med inspelningen av ”Mästarnas mästare” i Spanien 2024. Profilen har varit pausad från sina publika uppdrag på SVT under rättsprocessen. Han har nekat till brott men har medgett att han pussat målsäganden på munnen en gång. Tingsrätten är enig. ”Sammantaget anser tingsrätten att Michael Leijnegards agerande har haft en så tydlig sexuell inriktning eller prägel att det faller inom det straffbara området”, säger rådmannen Charlotta Hallgren i ett pressmeddelande. DN söker Leijnegard.",https://www.dn.se/direkt/2025-11-05/svt-profilen-micke-leijnegard-doms-for-sexuellt-ofredande/,DN,sweden,unclassified,,,,0,0
2025-07-11,Förslag: Slarv med a-kassan ska ge straffavgift,"En utskrift från Dagens Nyheter, 2025-11-05 12:12 Artikelns ursprungsadress: https://www.dn.se/sverige/forslag-slarv-med-a-kassan-ska-ge-straffavgift/ Den som slarvar eller fuskar med arbetslöshetsersättningen ska kunna få en sanktionsavgift, föreslår regeringens utredare. Är du redan prenumerant, logga in för att fortsätta läsa. Läs DN +Allt 2 mån för 9 kr. Sedan för halva priset i ett halvår, endast 125 kr/mån. Därefter ord. pris 249 kr/mån. DN.se, Expressen.se, lokala nyhetssajter och mer ingår. Läs DN +Allt 2 mån för 9 kr. Sedan för halva priset i ett halvår, endast 125 kr/mån. Därefter ord. pris 249 kr/mån. DN.se, Expressen.se, lokala nyhetssajter och mer ingår.",https://www.dn.se/sverige/forslag-slarv-med-a-kassan-ska-ge-straffavgift/,DN,sweden,cultural,arts,governance,arts,1,1
2025-07-01,Pärleros sanning om sin medverkan i ”Förrädarna”,"”Det är ett säkert kort!” Tog tio timmar • ”Är den inne?” Prislappen för tandsmyckena: ”Blingar” Stor intervju med ”Alla hatar Bell” • Livet efter genombrottet Kan du ana vem som gömmer sig bakom masken? Skådespelaren aktuell i filmen ”Hemmet” Svåra känslorna under ”Förrädarna”-inspelningen Fejkade frukosten • Flirtiga viben • Hemliga medspelarna Angelito faller olyckligt i Paradise hotel Brukade ta en öl på Älgen i Horntull ”Spelet”-deltagarna om bråken ”Rädd för att bli skuggspelare igen” Här tas Mauri emot av vännerna på Donken Spekulationer kring om influencern och entreprenören träffat en ny kärlek Deltagarna i ”Gränslandet” byter strand när orkanen drar in Berättar för Carina Bergfeldt om sorgen Vissa säger ”ja”, andra ”nej” – Henrik Nyblom säger mycket",https://www.expressen.se/tv/noje/parleros-sanning-om-sin-medverkan-i-forradarna/,Expressen,sweden,cultural,arts,,arts,0,1
2025-06-09,Oro i Boden efter pengalarmen från Stegra: ”Kan bli en katastrof”,/ BODEN. Marken har börjat gunga under prestigeprojektet Stegra. Det som har beskrivits som ”en månlandning för Boden” står nu och svajar på ett ben viod kanten av en djup ravin. check Läs hela reportaget från Boden – bara för dig med abplus,https://www.aftonbladet.se/nyheter/a/VzKW86/stegra-i-boden-oro-efter-larm-om-saknade-miljarder,Aftonbladet,sweden,unclassified,,,,0,0
2025-05-09,Expolis åtalas för tolv våldtäkter,"En man från Västernorrland som tidigare jobbat som polis åtalas misstänkt på sannolika skäl för tolv våldtäkter – varav elva betecknas som grova. Samtliga våldtäkter ska ha begåtts mot samma offer, en vuxen person. Enligt kammaråklagare Maria Lindgrens stämningsansökan har allt skett under en tidsperiod på knappt tre månader under senvintern och våren i år. Mannen ska bland annat ha – mot målsägarens vilja – piskat henne och använt vassa metallföremål som han tryckt och rullat mot offrets kropp. Han misstänks också för misshandel på två åtalspunkter. Han ska då vid båda tillfällena ha satt hundhalsband på sitt offer och dragit åt. Vid ett av tillfällen ska han också ha satt handfängsel på målsägaren. Han åtalas också för olaga tvång på en punkt. Mannen själv medger händelseförloppen i stora delar, men nekar till att ha begått något brottsligt. Han misstänks också för grovt barnpornografibrott. En del av det beslagtagna materialet betraktar åklagaren som särskilt hänsynslöst övergreppsmaterial. På den punkten nekar mannen helt. Huvudförhandlingen i Sundsvalls tingsrätt startar den 14 november och pågår till och från fram till den 5 december. För två år sedan dömdes han till fängelse i ett år och fyra månader för grovt barnpornografibrott och kränkande fotografering. Han hade då bland annat ett USB-minne med stora mängder barnpornografi. Totalt var det 71 113 bilder och 1408 filmer. Artikeln uppdateras med video under dagen. Uppdaterad5 november 2025 kl 10:51 Publicerad5 november 2025 kl 10:11 SVT:s nyheter ska stå för saklighet och opartiskhet. Det vi publicerar ska vara sant och relevant. Vid akuta nyhetslägen kan det vara svårt att få alla fakta bekräftade, då ska vi berätta vad vi vet – och inte vet. Läs mer om hur vi arbetar.",https://www.svt.se/nyheter/lokalt/vasternorrland/expolis-atalad-for-tolv-valdtakter,SVT,sweden,cultural,arts,"elections,parties",arts,2,2
2025-05-02,Framgångsvåg för Demokraterna i hela USA,"En utskrift från Dagens Nyheter, 2025-11-05 12:13 Artikelns ursprungsadress: https://www.dn.se/varlden/framgangsvag-for-demokraterna-i-hela-usa/ Nej till Donald Trump. Ja till alla sorters demokrater. Det blev väljarnas dom när stora delar av USA gick till val på tisdagen. Oppositionspartiets segrar i New York, New Jersey, Virginia och Kalifornien var övertygande och större än väntat. Är du redan prenumerant, logga in för att fortsätta läsa. Läs DN +Allt 2 mån för 9 kr. Sedan för halva priset i ett halvår, endast 125 kr/mån. Därefter ord. pris 249 kr/mån. DN.se, Expressen.se, lokala nyhetssajter och mer ingår. Läs DN +Allt 2 mån för 9 kr. Sedan för halva priset i ett halvår, endast 125 kr/mån. Därefter ord. pris 249 kr/mån. DN.se, Expressen.se, lokala nyhetssajter och mer ingår.",https://www.dn.se/varlden/framgangsvag-for-demokraterna-i-hela-usa/,DN,sweden,political,parties,"elections,parties",arts,3,1
2025-04-27,Javascript är avstängt,"På tio år har polisens budget nästan fördubblats, men antalet uppklarade brott minskat. ICA-handlaren Robert Larsson i Stenungsund känner sig maktlös när personer plockar på sig kött och andra varor i hans butik. Han polisanmäler, men åtta av tio anmälningar läggs ner, trots att de misstänkta fångas på film. Kioskägaren intill har slutat polisanmäla och har en egen metod för att sätta dit snattarna. Enligt Svensk Handel stjäls varor för 30 miljoner varje dag i butiker runt om i Sverige. En tredjedel av de anmälda stölderna klaras upp, ofta när tjuven tagits på bar gärning. Men många stölder anmäls inte. En majoritet av handlarna, 76 procent, anmäler inte på grund av att de tappat tron på rättsväsendet, enligt Svensk Handels enkät. – Jag skulle ju önska att polisen var mera på. Att vi samarbetade på ett bättre sätt och kände att vi hade dem med oss, säger handlaren Robert Larsson. Han har exempel på fall där de misstänkta tjuvarna fångas av övervakningskameror när de plockar i köttkylen. Kött för tusentals kronor försvinner och Robert Larsson har till och med namn och adress till en misstänkt. Ändå läggs utredningen ner utan att den utpekade kontaktats, med motiveringen ”misstänkt okänd”. – Vadå okänd? Vi vet vad han heter. Vi vet vart han bor. Jag förstår det inte, säger han. Se programmet ”Vardagstjuvar” på SVT Play Problemet är att de misstänkta försvinner ur bild på övervakningsfilmen och personalen inte vet exakt hur de ska ha fått ut köttet ur butiken. – Ser jag dem gå och plocka bara, och jag ser dem gå ut men vet inte om de tagit något på sig, då blir det svårt att ens säga att ett brott är begånget, säger Tomas Granlund, förundersökningsledare med mångårig erfarenhet av mängdbrott. Kioskägaren Karsten Richter har slutat polisanmäla snatterierna, istället tar han till en kontroversiell metod: Enligt Tomas Granlund har beviskraven ökat med åren. – På 70-talet fanns det inga övervakningsfilmer. Man dömde snattare på muntlig bevisning när någon hade sett vad de ",https://www.svt.se/nyheter/granskning/ug/har-fangas-misstankta-tjuvarna-pa-film-men-polisen-lagger-ner,SVT,sweden,cultural,arts,economy,arts,1,2
2025-04-25,Trumps förvirring – behöver vallas fram,Kryper fram på natten • ”Stäng dörren!” Borgmästarens utspel möttes av storjubel Uppgifter efter bilderna i natt • Se tillslaget mot kraftverket Drönarattack i Svarta havet Filmen visar skottdramat i Ohio Nordkoreanska elittrupper tillbaka från Ryssland i uppvisning Paret flyr i skräck Slår ner vid ukrainska bostadshus Smällar från i ryska Saratov Lastbilen med djuren välte – jakten i Mississippi Värdinnans mardröm i USA • 4 000 liter Svarar på frågan efter Andrew blivit exprins Ena handen upptagen – så slutar dramat Kan bära tolv Poseidonrobotar Marscherar genom populära målet • ”Skrämmande” Kaotiska scenerna efter knivattacken 2 döda • 14 skadade • 2 000 skott avlossade Se när polisen griper in,https://www.expressen.se/tv/nyheter/varlden/trumps-forvirring-maste-vallas-av-vardinnan/,Expressen,sweden,cultural,arts,elections,arts,1,2
2025-04-21,Aktieoraklet: Då toppar börsen – och då säljer jag,"PremiumBörsen tuffar på trots lågkonjunktur, tullar och oro i världen. Samtidigt hörs varningar om risken för ett nytt spektakulärt ras. Men börsprofilen Arne ”Kavastu” Talving, som slagit index 17 år på raken, tror det finns mer att hämta. Då toppar börsen. 10 största innehaven i vinnarportföljen. Är du redan prenumerant, logga in för att fortsätta läsa. En vecka gratis, sen 29 kr/mån i 6 månader. Därefter ordinarie pris 99 kr/mån tillsvidare. Ingen bindningstid, säg upp när du vill. En vecka gratis, sen 29 kr/mån i 6 månader. Därefter ordinarie pris 99 kr/mån tillsvidare. Ingen bindningstid, säg upp när du vill. Expressen infiltrerar Baravara • Bithandduk • Ögonbindlar • Hemliga regler Talangen om succén i Timrå • ”Hånet” mot lagkamraterna Betyg på fryst filé i portionsförpackning •&nbsp;En ensam vinnare",https://www.expressen.se/ekonomi/privatekonomi/aktieoraklet-da-toppar-borsen-och-da-saljer-jag/,Expressen,sweden,unclassified,,,,0,0
